sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:404488	Monomorium floricola	RO:0002470	eats	EOL:2905410	Adenia heterophylla	GEONAMES:8556192	Australian Canopy Crane, Cape Tribulation, Far North Queensland, Australia	-16.1166667	145.45		doi:10.1111/j.0030-1299.2004.12687.x	Blüthgen, N., N. E. Stork, and K. Fiedler. 2004. Bottom-up control and co-occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic. Oikos 106: 344-358.
EOL:457834	Oecophylla smaragdina	RO:0002470	eats	EOL:2905410	Adenia heterophylla	GEONAMES:8556192	Australian Canopy Crane, Cape Tribulation, Far North Queensland, Australia	-16.1166667	145.45		doi:10.1111/j.0030-1299.2004.12687.x	Blüthgen, N., N. E. Stork, and K. Fiedler. 2004. Bottom-up control and co-occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic. Oikos 106: 344-358.
EOL:474077	Anonychomyrma gilberti	RO:0002470	eats	EOL:2905410	Adenia heterophylla	GEONAMES:8556192	Australian Canopy Crane, Cape Tribulation, Far North Queensland, Australia	-16.1166667	145.45		doi:10.1111/j.0030-1299.2004.12687.x	Blüthgen, N., N. E. Stork, and K. Fiedler. 2004. Bottom-up control and co-occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic. Oikos 106: 344-358.
EOL:460392	Paratrechina vaga	RO:0002470	eats	EOL:1146099	Aleurites rockinghamensis	GEONAMES:8556192	Australian Canopy Crane, Cape Tribulation, Far North Queensland, Australia	-16.1166667	145.45		doi:10.1111/j.0030-1299.2004.12687.x	Blüthgen, N., N. E. Stork, and K. Fiedler. 2004. Bottom-up control and co-occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic. Oikos 106: 344-358.
EOL:32569	Azteca	RO:0002434	interacts with	EOL:1102108	Amaioua aff. guianensis	GEONAMES:6319328	Manaus, Amazonas, Brazil	-3.04361	-60.01282		doi:10.2307/5880	Fonseca, C.R., and G. Ganade. 1996. Asymmetries, compartments and null interactions in an Amazonian ant-plant community. Journal of Animal Ecology 66: 339-347.
EOL:457834	Oecophylla smaragdina	RO:0002470	eats	EOL:1136285	Archontophoenix alexandrae	GEONAMES:8556192	Australian Canopy Crane, Cape Tribulation, Far North Queensland, Australia	-16.1166667	145.45		doi:10.1111/j.0030-1299.2004.12687.x	Blüthgen, N., N. E. Stork, and K. Fiedler. 2004. Bottom-up control and co-occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic. Oikos 106: 344-358.
EOL:459891	Polyrhachis foreli	RO:0002470	eats	EOL:1136285	Archontophoenix alexandrae	GEONAMES:8556192	Australian Canopy Crane, Cape Tribulation, Far North Queensland, Australia	-16.1166667	145.45		doi:10.1111/j.0030-1299.2004.12687.x	Blüthgen, N., N. E. Stork, and K. Fiedler. 2004. Bottom-up control and co-occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic. Oikos 106: 344-358.
EOL:473236	Leptomyrmex unicolor	RO:0002470	eats	EOL:1136285	Archontophoenix alexandrae	GEONAMES:8556192	Australian Canopy Crane, Cape Tribulation, Far North Queensland, Australia	-16.1166667	145.45		doi:10.1111/j.0030-1299.2004.12687.x	Blüthgen, N., N. E. Stork, and K. Fiedler. 2004. Bottom-up control and co-occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic. Oikos 106: 344-358.
EOL:32539	Camponotus	RO:0002470	eats	EOL:5499965	Ardisia pachyrrhachis	GEONAMES:8556192	Australian Canopy Crane, Cape Tribulation, Far North Queensland, Australia	-16.1166667	145.45		doi:10.1111/j.0030-1299.2004.12687.x	Blüthgen, N., N. E. Stork, and K. Fiedler. 2004. Bottom-up control and co-occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic. Oikos 106: 344-358.
EOL:34568	Polyrhachis (Cyrtomyrma) 'Cyrto NB5041’	RO:0002470	eats	EOL:5499965	Ardisia pachyrrhachis	GEONAMES:8556192	Australian Canopy Crane, Cape Tribulation, Far North Queensland, Australia	-16.1166667	145.45		doi:10.1111/j.0030-1299.2004.12687.x	Blüthgen, N., N. E. Stork, and K. Fiedler. 2004. Bottom-up control and co-occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic. Oikos 106: 344-358.
